date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-08-15 23:59:34,AMOneForAll,,1,0,0,"It's my concern that in the event of a contested convention where superdelegates will vote on the second ballot in the event no candidate gets a majority, that she would make a deal with Joe to consolidate power even though Biden & Warren's supporters second choice is Bernie.",,,,1162151880933425153,https://twitter.com/AMOneForAll/status/1162151880933425153
2019-08-15 23:58:52,MatthewMerillo,StormIsUponUs,1,3,2,"Hilary’s hubby had been selling secrets to the Chinese for years as well, Joe Biden is in bed with the Chinese and so are many of the politicians here in Australia. Australia has sold lots of its infrastructure to the Chinese all are military strategic points. Go figure......",,,,1162151703010893824,https://twitter.com/MatthewMerillo/status/1162151703010893824
2019-08-15 23:58:49,toastmax,,0,1,1,"Google Trends shows @AndrewYang tied with Joe Biden and way ahead of Bernie Sanders & Elizabeth Warren https://medium.com/@mayoinmotion/andrew-yang-is-ahead-of-bernie-sanders-and-elizabeth-warren-on-google-trends-1e6a8d934afb … #YangGang2020 #YangGang",,@AndrewYang @mayoinmotion,#YangGang2020 #YangGang,1162151689329270785,https://twitter.com/toastmax/status/1162151689329270785
2019-08-15 23:57:02,AntonioDRAMsci,StephMurr_Jour,0,0,2,"Why does he sound like Joe Biden talking to a woman https://twitter.com/StephMurr_Jour/status/1162149041322545154 …",,,,1162151244066107393,https://twitter.com/AntonioDRAMsci/status/1162151244066107393
2019-08-15 23:56:31,skittishprey,Astraea_Muse,0,0,1,"Joe Biden is an actual white supremacist. You are ignoring reality.",,,,1162151113610555392,https://twitter.com/skittishprey/status/1162151113610555392
2019-08-15 23:56:08,CarsoniPH,crmdefense,0,0,0,"1. He already was loyal to Hillary and that didn’t work out. 2. If Biden drops out, then Obama is a free agent. I think Doddering Joe drops out. 3. I can’t even pick the winner of Saratoga 8th race, so pay no mind to me.",,,,1162151017246527489,https://twitter.com/CarsoniPH/status/1162151017246527489
2019-08-15 23:55:49,kenpotts9,cnnbrk,0,0,0,"Never had a chance anyway. Everyone knows Joe Biden will win the nomination.",,,,1162150936615247878,https://twitter.com/kenpotts9/status/1162150936615247878
2019-08-15 23:54:56,BWebazine,,0,0,0,"Senator wants inquiry into whether ‘conflict of interest’ led to US approval of deal involving Chinese state company and Joe Biden’s son http://bonbonlifestylewebazine.com/2019/08/16/senator-wants-inquiry-into-whether-conflict-of-interest-led-to-us-approval-of-deal-involving-chinese-state-company-and-joe-bidens-son/ …",,,,1162150714665242626,https://twitter.com/BWebazine/status/1162150714665242626
2019-08-15 23:54:40,TGCTS,captintrips,0,0,1,"Explain how the US refused entry to an Israeli Member of the Knesset in 2012 then. Maybe Joe Biden can explain - since he was VP when Obama did it.",,,,1162150647099207680,https://twitter.com/TGCTS/status/1162150647099207680
2019-08-15 23:54:19,j_gelling,AUWarEagle74,1,0,1,"Personally still expecting Joe Biden as ""Weekend at Bernie's"" figurehead and @ewarren as VP nominee.",,@ewarren,,1162150559484469248,https://twitter.com/j_gelling/status/1162150559484469248
2019-08-15 23:53:48,BackroomBuzz,,0,0,0,"President Trump Says He Want's To Face Clueless Joe Biden because Old Clueless is a mental Midget #Trump #Trump2020 #MAGA #KAG #POTUShttps://backroombuzz.com/debate-democrats-made-joe-biden-their-human-pinata/ …",,,#Trump #Trump2020 #MAGA #KAG #POTUShttps,1162150429184204801,https://twitter.com/BackroomBuzz/status/1162150429184204801
2019-08-15 23:53:45,BidenBlank,,0,0,1,"Joe Biden's favorite song is ""Magic Bus"" by The Who. Someone kill me please. #Biden2020",,,#Biden2020,1162150414713679872,https://twitter.com/BidenBlank/status/1162150414713679872
2019-08-15 23:53:42,Cozzy_was_Wrong,NateSilver538,1,0,0,"A short story: Biden never had much chance, but he would have a big impact on the dynamics of the race. So they convinced him to run to suck the air out of the room (not that Joe knows this) expecting Kamala would most likely pick up speed and surge w a strong CA victory but...",,,,1162150403976433664,https://twitter.com/Cozzy_was_Wrong/status/1162150403976433664
2019-08-15 23:53:31,butchgtg,charliekirk11,0,0,0,"According to the LibDems, if Joe Biden or other presidential candidates have to take a mental health assessment, THAT WOULD BE RACIST! That test is only for those they want to besmirch and to get rid of.",,,,1162150357528530944,https://twitter.com/butchgtg/status/1162150357528530944
2019-08-15 23:53:26,carrnut,JoeBiden,0,0,0,"Nope...not buyin what you're sellin Joe Biden.",,,,1162150336875728896,https://twitter.com/carrnut/status/1162150336875728896
2019-08-15 23:53:16,MANX38,realDonaldTrump,0,0,1,"Why are you so scared of Joe Biden? #pussy",,,#pussy,1162150293225779200,https://twitter.com/MANX38/status/1162150293225779200
2019-08-15 23:52:18,BackroomBuzz,Cam_From_Canada,1,0,0,"Short version 'Clueless Joe Biden Bring It Biotch' https://backroombuzz.com/debate-democrats-made-joe-biden-their-human-pinata/ …",,,,1162150052464332802,https://twitter.com/BackroomBuzz/status/1162150052464332802
2019-08-15 23:52:02,BowenXiao3,,4,57,158,"Trump on candidate Joe Biden: ""I think sleepy Joe maybe able to limp across the finish line. Today they announced they are going to cut way back on his appearances because he is such a disaster … Can you believe it?""",,,,1162149985724633089,https://twitter.com/BowenXiao3/status/1162149985724633089
2019-08-15 23:52:00,UnitedLoyalist,JoeBiden,0,0,1,"Also catch Joe Biden openly calling for anyone to be allowed into any country even if they fully believe in murdering all its citizens. ""No democracy should deny entry to visitors based on the content of their ideas"". I guess we must let in all chinese or Iranian officials too!",,,,1162149977180835841,https://twitter.com/UnitedLoyalist/status/1162149977180835841
2019-08-15 23:51:49,vernslawyer,GOP,0,0,5,"So to recap: the @gop is terrified of Joe Biden",,@gop,,1162149929982341120,https://twitter.com/vernslawyer/status/1162149929982341120
2019-08-15 23:51:39,Fran_Neena20409,,1,1,0,"Fox News poll: Joe Biden's lead is shrinking in Democratic presidential race | https://video.foxnews.com/v/6073420897001/ …",,,,1162149885837266944,https://twitter.com/Fran_Neena20409/status/1162149885837266944
2019-08-15 23:51:35,Eddie01233580,ARSalestexas,1,0,0,"That's a good combination creepy Joe Biden and crossdresser Bill Clinton...",,,,1162149869517041664,https://twitter.com/Eddie01233580/status/1162149869517041664
2019-08-15 23:51:18,bschwarzburg,joshscraig,0,0,0,"What did he say that was hate. Oh wait liberals hate the truth .. Unless your Joe Biden and he thinks Truth and facts are total two different things.. Uncle Ed’s sister has done nothing for the people she represents..",,,,1162149798918656004,https://twitter.com/bschwarzburg/status/1162149798918656004
2019-08-15 23:51:16,Homespun2105,PattyArquette,0,0,1,"Exactly and Trump keeps calling Dem Front Runner Vice President Biden Sleepy Joe...well he’d better wake up and know he’s #DumbDonald and he’ll lose to Joe or any one of the top 4Dems. Time to #DumpTrump2020 #DumbDonald",,,#DumbDonald #DumpTrump2020 #DumbDonald,1162149789380857856,https://twitter.com/Homespun2105/status/1162149789380857856
2019-08-15 23:51:10,topquark22,,0,0,0,"""Crepy Joe"" Biden got like 15 people at his rally. Trump has a stadium that can hold 15,000 people, and, he had to turn away another 30,000. #uspoli",,,#uspoli,1162149766156955649,https://twitter.com/topquark22/status/1162149766156955649
2019-08-15 23:51:09,simongloom,,0,0,0,"the @DNC needs to tell Joe Biden to quit. It's obvious Trump wants Biden to win as he knows Biden is slipping mentally & Trump will steamroll him in debates.",,@DNC,,1162149761161584640,https://twitter.com/simongloom/status/1162149761161584640
2019-08-15 23:51:09,FrankMcV,1rorycowan,0,0,1,"The problems in this country have been here far longer than 3 years it’s decade upon decade of poor management by our government and deadlock in congress/senate Joe Biden blaming Trump for everything wrong here has had 40 years in our government and helped create these problems",,,,1162149760117219328,https://twitter.com/FrankMcV/status/1162149760117219328
2019-08-15 23:50:56,Eddie01233580,ARSalestexas,0,1,1,"Now that's a good combination creepy Joe Biden and crossdresser Bill Clinton! https://twitter.com/ARSalestexas/status/1162142595813969925 …",,,,1162149708673896448,https://twitter.com/Eddie01233580/status/1162149708673896448
2019-08-15 23:50:36,MichaelGorecki,KamalaHarris,0,0,0,"Isn't this the same person who berated Joe Biden for working with segregationist senators? Why should #Israel work with two racist, #antiSemitic individuals who want Israel destroyed? Can't have it both ways, #Kamala! #MAGA #KeepAmericaGreat #KamalaHarrisDestroyed #WillieBrownhttps://twitter.com/KamalaHarris/status/1162052137976811522 …",,,#Israel #antiSemitic #Kamala #MAGA #KeepAmericaGreat #KamalaHarrisDestroyed #WillieBrownhttps,1162149621306667008,https://twitter.com/MichaelGorecki/status/1162149621306667008
2019-08-15 23:50:25,rising_serpent,,8,59,94,"Biden Floats New Anti-Gaffe Strategy: Talking Less. What could go wrong? Look how well it worked for Hillary. After all, if Joe wins the primary he'll only be running against a guy who sleeps 3 hours and speaks extemporaneously for 2 hours on the stump. https://www.vanityfair.com/news/2019/08/joe-biden-2020-allies-float-anti-gaffe-strategy-talking-less …",,,,1162149578499657728,https://twitter.com/rising_serpent/status/1162149578499657728
2019-08-15 23:50:11,tomtiger1968,SpyGateDown,0,0,1,"Joe ""the groper"" Biden- wants to sniff Bubbas hair,& stuff.... https://twitter.com/SpyGateDown/status/1162125756215861248 …",,,,1162149520274120704,https://twitter.com/tomtiger1968/status/1162149520274120704
2019-08-15 23:50:02,Cam_From_Canada,,7,12,26,"1 TRUMP IN NEW HAMPSHIRE •Reminds that he wants Joe Biden to win. Says he could “limp” across line. •Reminds that Biden is a disaster. Calls him Sleepy. •Talks about NYTimes editor getting demoted. Seems really “broken up about it.” •Hammering the Dems are socialists theme.",,,,1162149482110152704,https://twitter.com/Cam_From_Canada/status/1162149482110152704
2019-08-15 23:49:01,SameeraKhan,nikoCSFB,1,0,2,"Joe Biden doesn’t lead the Democratic Party. Narendra Modi leads the party and the coalition government. And leader in Lok Sabha. https://m.economictimes.com/news/politics-and-nation/bjp-forms-new-parliamentary-party-executive-narendra-modi-leader-in-lok-sabha-rajnath-singh-his-deputy/articleshow/69759404.cms …",,,,1162149222608711680,https://twitter.com/SameeraKhan/status/1162149222608711680
2019-08-15 23:48:48,izoldelo,mbaram,0,1,0,"I pray every night that God takes back Nancy Pelosi, Joe Biden and AOC. Just a quiet prayer.",,,,1162149170817486848,https://twitter.com/izoldelo/status/1162149170817486848
