date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-09-21 23:59:49,DyersEve06,GeraldoRivera,0,0,0,"No... stop. Just stop. You can’t even prove that Hunter Biden was being investigated when Joe said what he did. Stop spreading this false narrative",,,,1175560291804954624,https://twitter.com/DyersEve06/status/1175560291804954624
2019-09-21 23:59:46,IvoryFinancial,hks55,1,0,1,"Biden's kid and joe should be most worried. Those deals he made when VP are super shady.",,,,1175560279796719617,https://twitter.com/IvoryFinancial/status/1175560279796719617
2019-09-21 23:59:38,joecmcconnell,IngrahamAngle,0,0,0,"No matter what former VP says, if a man is in the women’s public bathroom for no apparent reason, leave quickly and call for law enforcement, especially if it’s Joe Biden. https://twitter.com/IngrahamAngle/status/1175520312487600130 …",,,,1175560247483744256,https://twitter.com/joecmcconnell/status/1175560247483744256
2019-09-21 23:59:33,G_lame3,,0,1,2,"BRILLIANT! President Trump DESTROYS Joe Biden Crime Family on REAL UKRAINIAN SCANDAL (Video) https://www.thegatewaypundit.com/2019/09/brilliant-president-trump-destroys-joe-biden-crime-family-on-real-ukrainian-scandal-video/ … via @gatewaypundit",,@gatewaypundit,,1175560226185109505,https://twitter.com/G_lame3/status/1175560226185109505
2019-09-21 23:59:18,parviz_pk6,,0,0,0,"Bill Maher Makes the Case for Joe Biden: He Is ‘Mildly Embarrassing’ But Not ‘Insane’ Like Trump #foxandfriends ⁦ @foxandfriends⁩ #trump This FUCKING IDIOT IS YOUR PRESIDENT,,https://www.thedailybeast.com/bill-maher-makes-the-case-for-joe-biden-he-is-mildly-embarrassing-but-not-insane-like-trump …",,@foxandfriends,#foxandfriends #trump,1175560162473439232,https://twitter.com/parviz_pk6/status/1175560162473439232
2019-09-21 23:59:17,hotrod_mom,Conserv85663744,0,0,0,"JOE BIDEN. LOST WHAT EVER MIND HE HAD..",,,,1175560159046717441,https://twitter.com/hotrod_mom/status/1175560159046717441
2019-09-21 23:59:16,jonathanbarfiel,annstarrm,0,0,0,"Joe Biden knows about brides. https://youtu.be/KCF9My1vBP4",,,,1175560153690779648,https://twitter.com/jonathanbarfiel/status/1175560153690779648
2019-09-21 23:59:13,wjbubba520,LadyRedWave,0,1,0,"Stop pointing fingers Joe! The truth hurts & the truth will soon be exposed! You & your son deserve jail time! The Biden’s are looking like they are guilty of blackmail & collusion so far! Joe made threats! It’s not looking good for the Dems! Hey Nadler,investigate Biden’s! Lmao! https://twitter.com/ladyredwave/status/1175515686937886720 …",,,,1175560140914868224,https://twitter.com/wjbubba520/status/1175560140914868224
2019-09-21 23:59:07,RTrump2020,,0,0,0,"It was all a lie the fake news media is covering up for Joe Biden and his son! https://www.thegatewaypundit.com/2019/09/it-was-all-a-lie-ukrainian-foreign-minister-denies-trump-put-pressure-on-president-during-july-call-video/ …",,,,1175560118924189701,https://twitter.com/RTrump2020/status/1175560118924189701
2019-09-21 23:59:05,_NCPatriot_,,0,1,0,"‘Here’s a problem’: Daily Mail’s David Martosko digs into Joe Biden’s claim about never having discussed overseas business with his son https://twitchy.com/dougp-3137/2019/09/21/heres-a-problem-daily-mails-david-martosko-digs-into-joe-bidens-claim-about-never-having-discussed-overseas-business-with-his-son/ …",,,,1175560110069964800,https://twitter.com/_NCPatriot_/status/1175560110069964800
2019-09-21 23:59:02,BuckeyeSquadron,,0,0,0,"""F*** you, Mr. President': Joe Biden's son Hunter brushes off Donald Trump's investigation threats https://www.newsweek.com/joe-biden-son-hunter-brushes-off-trump-investigations-threat-1446818?fbclid=IwAR0J0hjWdAKw8zAa7Xrm4fldC6bFSKBrSY4Zq01bf17X43vEeeER8ipTg_0 …",,,,1175560095612198913,https://twitter.com/BuckeyeSquadron/status/1175560095612198913
2019-09-21 23:58:58,RetiredBoomer55,SykesCharlie,0,0,7,"FYI, @realDonaldTrump . You are lying about Joe Biden. And we know it.",,@realDonaldTrump,,1175560080676282369,https://twitter.com/RetiredBoomer55/status/1175560080676282369
2019-09-21 23:58:40,Trey_VonDinkis,,8,74,79,". LEFTIST CRIME - BIDEN EXPLODES at REPORTERS when ASKED REAL ??s Leftist Lifelong Criminal Fraud, Chinese Operative, and Pedophile Joe Biden SNAPS in Deranged Response to Reporters when Asked REAL Questions on His Bribery of Ukraine . https://www.dailywire.com/news/52072/watch-biden-explodes-when-confronted-his-ukraine-ryan-saavedra …",,,,1175560003815559168,https://twitter.com/Trey_VonDinkis/status/1175560003815559168
2019-09-21 23:58:40,littlebitsnbob4,BreitbartNews,0,0,0,"Is anyone surprised that the MSM has once again jumped to conclusions before the entire story came out? Here is what should happen. 1. Investigate Hunter Biden & Joe Biden 3. If ""Whistle Blower"" is not legitimate then fire his ass. https://twitter.com/BreitbartNews/status/1175558471825133568 …",,,,1175560003387887618,https://twitter.com/littlebitsnbob4/status/1175560003387887618
2019-09-21 23:58:31,ashlyn68,,0,0,0,"@OnVegasTime Can you believe Joe threatens to hold one billion dollars if they don't stop investigating Hunter's business; AMERICA SEES THROUGH THIS RIDICULOUS ATTEMPT TO TURN BIDEN'S SCANDAL FALSELY INTO TRUMP'S WHEN WILL THE NONSENSE CEASE?!",,@OnVegasTime,,1175559966062608384,https://twitter.com/ashlyn68/status/1175559966062608384
2019-09-21 23:58:30,JuliePorterj4,j_gelling,0,0,0,"Anyone who believes Joe Biden, Presidential Candidate, didn’t strong arm the Ukraine officials as VP is a hypocrite and a liar. It’s on record. He’s lying. He and Hunter should be in jail https://twitter.com/j_gelling/status/1175539230484946944 …",,,,1175559964166971392,https://twitter.com/JuliePorterj4/status/1175559964166971392
2019-09-21 23:58:27,BP589,,0,0,0,"Donald Trump: ‘Real and Only Story’ Is Joe Biden’s Ukraine Scandal http://disq.us/t/3ifezem",,,,1175559948169830400,https://twitter.com/BP589/status/1175559948169830400
2019-09-21 23:58:20,Sterlng3,VOTEMAGA2020,0,0,0,"Prosecutor where investigating Joe Biden’s son for corruption getting a no show job with an energy company making $83k a month. Hunter Biden has no energy sector credentials no qualifications. Very corrupt. https://twitter.com/VOTEMAGA2020/status/1175514641428045830 …",,,,1175559921485721601,https://twitter.com/Sterlng3/status/1175559921485721601
2019-09-21 23:58:20,MuchLuck,dbongino,0,0,0,"Heck, Joe ""frosted flake"" Biden just figured this one out.",,,,1175559920164462594,https://twitter.com/MuchLuck/status/1175559920164462594
2019-09-21 23:58:15,bmarcois,,1,12,8,"After Hunter Biden stopped shacking up with his dying brother’s wife, he married someone he’d known for a week. Joe Biden was happy with both arrangements. The triumph of love. #BidenCorruption #Biden2020https://www.washingtonexaminer.com/news/hunter-biden-didnt-invite-father-joe-to-his-wedding-then-called-him-and-said-dad-i-always-had-love …",,,#BidenCorruption #Biden2020https,1175559901353000960,https://twitter.com/bmarcois/status/1175559901353000960
2019-09-21 23:58:11,NoSpeakDimocrat,trump_gays,0,3,4,"ABC. Threw Biden and his son Hunter under the bus. Old Joe is deflecting the attention onto Trump. Nothing will ever become of it but they are eating their own now.",,,,1175559881895632896,https://twitter.com/NoSpeakDimocrat/status/1175559881895632896
2019-09-21 23:58:10,Stella_Basham1,,1,8,7,"The story begins with the fact that the Biden family took advantage of Joe’s status as VP to get rich through foreign connections, principally China and Ukraine. This is a common phenomenon–a Democratic politician labors away for years at a modest salary, then retires a rich man. pic.twitter.com/jT0vKyqU4z",,,,1175559878527660033,https://twitter.com/Stella_Basham1/status/1175559878527660033
2019-09-21 23:57:47,RobbieBr15,DaveNYviii,1,1,1,"O candidato democrata Joe Biden que vai concorrer à presidência dos EUA, disse que os homens condenados que se identificarem como mulheres devem ser colocados em presídios femininos. O que poderia dar errado, né? É inacreditável a psicopatia dessa gente. https://twitter.com/DaveNYviii/status/1175229023603089409 …",,,,1175559780473155584,https://twitter.com/RobbieBr15/status/1175559780473155584
2019-09-21 23:57:46,gbusch1173,BlockMyWords,1,0,0,"However Joe Biden holding a Billion dollars hostage till a prosecutor investigating his sons company within the Ukraine is fired most certainly deserves much more attention than the weekly Trump acts like a jerk story. But the media is in bed with the DNC and as such this crap.",,,,1175559775767207936,https://twitter.com/gbusch1173/status/1175559775767207936
2019-09-21 23:57:45,IdiotsMaga,TheRightMelissa,0,0,0,"Dang, @realDonaldTrump is so scared of Joe Biden, he extorted Ukraine to try and get them to smear Biden. Trump continues breaking the law to personally benefit himself which makes him a #DesperateDonald.",,@realDonaldTrump,#DesperateDonald,1175559774466977792,https://twitter.com/IdiotsMaga/status/1175559774466977792
2019-09-21 23:57:43,PickettFlash,CHIZMAGA,0,0,6,"On the May 10, 2019, Shannon Bream show, Rudy Gulianni talks about Joe Biden getting the investigation of his son quashed. https://youtu.be/MMYn63LqSgg?t=261 …",,,,1175559763712720898,https://twitter.com/PickettFlash/status/1175559763712720898
2019-09-21 23:57:31,QuoVadisKorea,USRealityCheck,0,0,0,"Joe Biden is a fake. Watch Elizabeth Warren, the next POTUS. https://twitter.com/USRealityCheck/status/1175559145577046016 …",,,,1175559715578925057,https://twitter.com/QuoVadisKorea/status/1175559715578925057
2019-09-21 23:57:26,el_pais,,2,9,21,"Una nueva trama que pasa por Ucrania perjudica a un nuevo candidato demócrata a la presidencia de EE UU, el exvicepresidente Joe Biden, aunque también tiene a Trump entre sus protagonistas https://elpais.com/internacional/2019/09/21/estados_unidos/1569084477_046396.html …",,,,1175559693202317313,https://twitter.com/el_pais/status/1175559693202317313
2019-09-21 23:57:25,chanaro103,LadyRedWave,0,3,8,"Didn’t Joe Biden threaten Ukraine? Didn’t he tell them to change the attorney investigating the company his son worked? “He told the President if you don’t change and stop investigating I won’t give you the Dollars?”",,,,1175559689481965571,https://twitter.com/chanaro103/status/1175559689481965571
2019-09-21 23:57:24,GregoryJHall1,,2,1,3,". @realDonaldTrump @JoeBiden https://m.youtube.com/watch?v=UXA--dj2-CY … Biden told reporters. ""Trump's doing this because he knows I will beat him like a drum and is using the abuse of power and every element of the presidency to try and smear."" Uhhh Joe, The President isn't Corn Pop! You'll lose",,@realDonaldTrump @JoeBiden,,1175559687300796416,https://twitter.com/GregoryJHall1/status/1175559687300796416
2019-09-21 23:57:20,StationEchange,,0,0,0,"Joe Biden accuses Trump of an abuse of power Joe Biden calls for President Trump to be investigated over an alleged phone call to Ukraine's leader about him and his son. Also: Saudi Arabia once again blames Iran for last week's drone strikes. And health … https://ift.tt/32XAh01",,,,1175559666794975234,https://twitter.com/StationEchange/status/1175559666794975234
2019-09-21 23:57:17,infinitebritt,EdwardEmerling,0,0,0,"JOE BIDEN WANTS TO GIVE YOU $1000/M VOTE FOR JOE",,,,1175559657764638726,https://twitter.com/infinitebritt/status/1175559657764638726
2019-09-21 23:57:17,JamesCa14972101,,0,0,0,"Watch Joe Biden Admit To Obstructing Justice In the Ukraine https://710wor.iheart.com/featured/mark-simone/content/2019-04-29-watch-joe-biden-admit-to-obstructing-justice/#.XYa42caPiH4.twitter …",,,#,1175559654354673664,https://twitter.com/JamesCa14972101/status/1175559654354673664
2019-09-21 23:56:55,fixitkev,olgaNYC1211,0,0,0,"Do some research on your own. Look up information on the company Burisma. Gas company in Ukraine. Hunter Biden was on board of that company. He had no experience in the energy field. The company is being investigated for fraud. Including Hunter Biden. Joe Biden gets the",,,,1175559563946446848,https://twitter.com/fixitkev/status/1175559563946446848
2019-09-21 23:56:50,booth44,booth44,0,0,0,"Replace ""Joe & Hunter Biden"" with Donald Trump and Don Jr.....and you'd be freaking out..... But they're Dems...so you predictable give them a pass.",,,,1175559543255961601,https://twitter.com/booth44/status/1175559543255961601
2019-09-21 23:56:41,D0MXNXQUE,,1,1,1,"We need to talk more about how amazing Joe Biden was in Endgame. Wow.",,,,1175559505104556032,https://twitter.com/D0MXNXQUE/status/1175559505104556032
2019-09-21 23:56:37,alina_wreczycki,JoeBiden,0,0,0,"No, we can't VPJB soon to be Mr. President Joe Biden. On November 3, 2020, there will be a grand awakening of moral values in the hearts and minds of ""We the People"" & their relocation to the White House on Jan. 20, 2021, embodied in your personhood as our servant leader. :)",,,,1175559487559745537,https://twitter.com/alina_wreczycki/status/1175559487559745537
2019-09-21 23:56:30,moosetails0007,pollsofpolitics,0,1,0,"Joe Biden is the CROOK & His CROOKED Shithole Son! FOLLOW THE MONEY https://twitter.com/pollsofpolitics/status/1175431650081046528 …",,,,1175559460040785920,https://twitter.com/moosetails0007/status/1175559460040785920
2019-09-21 23:56:29,CityofTwoRivers,,1,8,11,"#JoeChina I mean #JoeBiden went to #Ukraine 12 or 13 times. Why? #CocaineHunter #airforceone Maybe we should be looking at Joe's Tax Returns? #QAnonhttps://youtu.be/0zxWJlCD3ic",,,#JoeChina #JoeBiden #Ukraine #CocaineHunter #airforceone #QAnonhttps,1175559456479830016,https://twitter.com/CityofTwoRivers/status/1175559456479830016
2019-09-21 23:56:26,jonathanbarfiel,bshopkin,0,0,0,"Let me help you. This is Joe Biden saying it! I picked R/T just to piss everyone off.https://youtu.be/KCF9My1vBP4",,,,1175559443284680704,https://twitter.com/jonathanbarfiel/status/1175559443284680704
2019-09-21 23:56:26,Robbo1992x,,0,2,5,"Joe Biden Brags about getting Ukranian Prosecutor Fired https://youtu.be/UXA--dj2-CY via @YouTube",,@YouTube,,1175559443221831688,https://twitter.com/Robbo1992x/status/1175559443221831688
2019-09-21 23:56:25,jmacat10682,,0,0,0,"#BREAKING: Biden goes hard after Trump in Iowa over Ukraine accusations: DES MOINES — Joe Biden moved quickly unde via @POLITICO for Android",,@POLITICO,#BREAKING,1175559438050254854,https://twitter.com/jmacat10682/status/1175559438050254854
