date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-09-11 23:59:34,Formault,,0,0,0,"White liberal neon haired college kids 0.2 seconds before they call me a man for saying that Bernie Sanders is an imperialist pic.twitter.com/8VcKGpxFQf",,,,1171936350397816832,https://twitter.com/Formault/status/1171936350397816832
2019-09-11 23:59:16,DEEJAYEee,,0,0,0,"That’s it I’m a Bernie sanders supporter as of now",,,,1171936277534429184,https://twitter.com/DEEJAYEee/status/1171936277534429184
2019-09-11 23:58:39,don226don,,0,0,0,"Linda Sarsour Endorses Bernie Sanders and Halts Political Progress • Ing... https://youtu.be/aLBmsNItb-Q via @YouTube",,@YouTube,,1171936122391465986,https://twitter.com/don226don/status/1171936122391465986
2019-09-11 23:58:28,Pedro_ChosenOne,BernieSanders,0,0,0,"My most prized treasure valuable possession a Tweet following by Presidental Candidate Senator Bernie Sanders from Vermont. Pedro Smith Author pic.twitter.com/uGg7RAb8me",,,,1171936076442873856,https://twitter.com/Pedro_ChosenOne/status/1171936076442873856
2019-09-11 23:58:17,kearby_brad,TomPerez,0,0,0,"Not the god damn dnc 100 percent behind Bernie Sanders you better not cheat him or the pitchforks will be out",,,,1171936030439739392,https://twitter.com/kearby_brad/status/1171936030439739392
2019-09-11 23:58:14,Scrappy_Scarps,HenryBlue22,1,0,0,"Bernie Sanders",,,,1171936018393640960,https://twitter.com/Scrappy_Scarps/status/1171936018393640960
2019-09-11 23:57:45,WarrenFan4,,7,11,31,"Elizabeth Warren is the only leading candidate who DIDN'T vote for: Mass incarceration (Biden & Sanders) Derivatives deregulation (Biden &amp; Sanders) The Iraq War (Biden) Corporate-written bankruptcy law (Biden) Gunmaker immunity (Sanders) #Biden #Bernie #Warren",,,#Biden #Bernie #Warren,1171935895924170752,https://twitter.com/WarrenFan4/status/1171935895924170752
2019-09-11 23:56:52,pr_barnett,Redtowel4,0,0,4,"Preparation for the Bernie Sanders house parties tomorrow.",,,,1171935671864442880,https://twitter.com/pr_barnett/status/1171935671864442880
2019-09-11 23:56:45,wehrleining,,1,0,1,"fiz um teste de personalidade e deu que minha personalidade é Arquitecto (INTJ). ai fui procurar a lista de pessoas com a mesma personalidade que eu. a lista passou de thanos a voldemort, de bruce wayne a stephen strange e dilma rousseff, de bernie sanders a snape",,,,1171935644676960256,https://twitter.com/wehrleining/status/1171935644676960256
2019-09-11 23:56:32,generationloss,,1,0,1,"One is tulsi Gabbard, who they’re desperately trying to silence at all costs. The other is Bernie Sanders. Tulsi’s stances are incoherent, and Bernie’s are insufficient, but no one else has shown any real interest in breaking from the bipartisan imperialist consensus.",,,,1171935588410376197,https://twitter.com/generationloss/status/1171935588410376197
2019-09-11 23:56:30,baphnedia,samstein,0,0,0,"He's gonna drop more policy releases in one day than Bernie Sanders has in his career?",,,,1171935579056922624,https://twitter.com/baphnedia/status/1171935579056922624
2019-09-11 23:56:10,m_mendozaferrer,CourtneyABC13,0,0,0,"Can you report on Bernie Sanders freely using the ""n-word"" in his 1997 memoir (updated with audio version in 2015) and also including a smear of his former female Rep 96 opponent as ""too brassy. too bitchy. too loud."" She was a rape victim (thread). https://twitter.com/m_mendozaferrer/status/1170573875329077248 …",,,,1171935494411866112,https://twitter.com/m_mendozaferrer/status/1171935494411866112
2019-09-11 23:55:56,StairKeith,kazweida,0,0,0,"Bernie rocks while he rolls. BERNIE SANDERS 2020",,,,1171935437591646213,https://twitter.com/StairKeith/status/1171935437591646213
2019-09-11 23:55:53,drrichardpaul,KatherineMABC13,0,0,6,"Bernie Sanders",,,,1171935424580923392,https://twitter.com/drrichardpaul/status/1171935424580923392
2019-09-11 23:55:36,JPBrunelPhoto,QueenInYeIIow,1,0,2,"Why would she? Her views and policies line up far better with Bernie Sanders...",,,,1171935352006705152,https://twitter.com/JPBrunelPhoto/status/1171935352006705152
2019-09-11 23:55:04,OMA_Project,rondeaulivia,1,0,3,"I'd rather see photoshop picture of you suplexing Bernie Sanders, tbh. But that's probably just me",,,,1171935217843613696,https://twitter.com/OMA_Project/status/1171935217843613696
2019-09-11 23:54:46,m_mendozaferrer,TomPerez,0,3,8,"Can you comment on Bernie Sanders freely using the ""n-word"" in his 1997 memoir (updated with audio version in 2015) and using a smear of his 1996 former female Republican opponent as ""too brassy. too bitchy. too loud."" She was a rape victim (thread). https://twitter.com/m_mendozaferrer/status/1170573875329077248 …",,,,1171935143256346624,https://twitter.com/m_mendozaferrer/status/1171935143256346624
2019-09-11 23:54:41,politicsofhope_,nicolesandler,0,0,1,"Bernie Sanders is the only real electoral threat the power of US financial capital and the global ""war on terror"" currently expanded to 9 countries That's why he's the only candidate",,,,1171935122175791105,https://twitter.com/politicsofhope_/status/1171935122175791105
2019-09-11 23:54:22,YepDemocracy,SusanSarandon,0,0,0,"Has Bernie Sanders read the Mueller Report?",,,,1171935044828459008,https://twitter.com/YepDemocracy/status/1171935044828459008
2019-09-11 23:54:14,DerekPederson3,,0,0,1,"Also: the most under-reported aspect of this is how important educational attainment was in the Democratic primary too. Among non-Hispanic whites, higher levels of educational attainment were strongly correlated with voting for Hillary Clinton over Bernie Sanders. #2016election",,,#2016election,1171935007956447233,https://twitter.com/DerekPederson3/status/1171935007956447233
2019-09-11 23:54:04,PHSJavier,,0,0,0,"Poll: Bernie Sanders Taking the Lead in New Hampshire https://www.breitbart.com/politics/2019/09/11/poll-bernie-sanders-taking-the-lead-in-new-hampshire/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/9yp01kw9Gb",,,,1171934966717898752,https://twitter.com/PHSJavier/status/1171934966717898752
2019-09-11 23:54:03,_NataliePoole_,,0,0,0,"Poll: Bernie Sanders Taking the Lead in New Hampshire https://www.breitbart.com/politics/2019/09/11/poll-bernie-sanders-taking-the-lead-in-new-hampshire/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/W9Ar99zUJR",,,,1171934963958079488,https://twitter.com/_NataliePoole_/status/1171934963958079488
2019-09-11 23:53:47,hardball,,3,4,14,"""If he's going to go after Warren, he's going to get hit by Bernie Sanders."" @JuanitaTolliver on Biden's potential strategies in the debate. #Hardball",,@JuanitaTolliver,#Hardball,1171934895985319936,https://twitter.com/hardball/status/1171934895985319936
2019-09-11 23:53:33,IdiotTracker,,0,0,0,"Warren's campaign reminds me a lot of Bernie Sanders': you listen to the candidate for 5 minutes & think, hey, they've got good ideas and would make a good president. Then you listen to their supporters for 5 minutes & think: I would fight to the death against these creeps.",,,,1171934839286554624,https://twitter.com/IdiotTracker/status/1171934839286554624
2019-09-11 23:53:28,dykcyd,DintMentalFloss,2,0,0,"Said the fragile “Bernie Supporter”, while blocking a longtime Sanders activist. #libruls #delicateflowers #anybluewilldo #WarrenDerangementSyndromepic.twitter.com/oOM4ehfqTW",,,#libruls #delicateflowers #anybluewilldo #WarrenDerangementSyndromepic,1171934816935145473,https://twitter.com/dykcyd/status/1171934816935145473
2019-09-11 23:53:18,Robertlin12,,1,0,0,"Other than that her platform remains the same. She pushed back on Rubin’s “poor” shaming of folks who are stuck in “affordable housing’s Income requirements. Appearing on Dave Rubin is no worse than Bernie Sanders going onto Fox News. I understand she’s also been there",,,,1171934775252148224,https://twitter.com/Robertlin12/status/1171934775252148224
2019-09-11 23:52:58,lilly64,pugsandco,0,0,1,"And Tom Steyer and his idiot ass is right up there with him. He’s Bernie Sanders with money. Just think how useful all that money could be in funding congressional and Senate races, instead of pointless impeachment commercials and now a vanity campaign.",,,,1171934691173294081,https://twitter.com/lilly64/status/1171934691173294081
2019-09-11 23:52:58,ChaunceySprague,KatherineMABC13,0,0,3,"Bernie Sanders!",,,,1171934690497851392,https://twitter.com/ChaunceySprague/status/1171934690497851392
2019-09-11 23:52:51,NoBigGovDuh,,0,0,0,"Bernie Sanders jumps to the lead in NH: Franklin Pierce-Herald poll shows https://www.bostonherald.com/2019/09/11/bernie-sanders-jumps-to-lead-in-nh-franklin-pierce-herald-poll-shows/ … -via Flynx",,,,1171934662891069441,https://twitter.com/NoBigGovDuh/status/1171934662891069441
2019-09-11 23:52:47,ShammySavage,j_duncheon,2,0,3,"This is from the person defending Bernie ""most drug dealers are African American"" Sanders.",,,,1171934646533263365,https://twitter.com/ShammySavage/status/1171934646533263365
2019-09-11 23:52:41,VirginiaShaubel,,0,0,3,"Censored vs. Sinkhole, Transients, Google, Facebook, Bernie Sanders, Oh ... https://youtu.be/sH-TIz56oI8 via @YouTube",,@YouTube,,1171934618087567360,https://twitter.com/VirginiaShaubel/status/1171934618087567360
